Code,Country,County/State,Postcode/Zip,Rate,Zip/Post is Range,Range From,Range To,default
Austria - Reduced Rate,AT,*,,5,,,,UK VAT
Austria - Standard,AT,*,,20,,,,UK VAT
Austria - Zero Rate,AT,*,,0,,,,UK VAT
Belgium - Reduced Rate,BE,*,,5,,,,UK VAT
Belgium - Standard,BE,*,,20,,,,UK VAT
Belgium - Zero Rate,BE,*,,0,,,,UK VAT
Bulgaria - Reduced Rate,BG,*,,5,,,,UK VAT
Bulgaria - Standard,BG,*,,20,,,,UK VAT
Bulgaria - Zero Rate,BG,*,,0,,,,UK VAT
Croatia - Reduced Rate,HR,*,,5,,,,UK VAT
Croatia - Standard,HR,*,,20,,,,UK VAT
Croatia - Zero Rate,HR,*,,0,,,,UK VAT
Cyprus - Reduced Rate,CY,*,,5,,,,UK VAT
Cyprus - Standard,CY,*,,20,,,,UK VAT
Cyprus - Zero Rate,CY,*,,0,,,,UK VAT
Czech Republic - Reduced Rate,CZ,*,,5,,,,UK VAT
Czech Republic - Standard,CZ,*,,20,,,,UK VAT
Czech Republic - Zero Rate,CZ,*,,0,,,,UK VAT
Denmark - Reduced Rate,DK,*,,5,,,,UK VAT
Denmark - Standard,DK,*,,20,,,,UK VAT
Denmark - Zero Rate,DK,*,,0,,,,UK VAT
Estonia - Reduced Rate,EE,*,,5,,,,UK VAT
Estonia - Standard,EE,*,,20,,,,UK VAT
Estonia - Zero Rate,EE,*,,0,,,,UK VAT
Finland - Reduced Rate,FI,*,,5,,,,UK VAT
Finland - Standard,FI,*,,20,,,,UK VAT
Finland - Zero Rate,FI,*,,0,,,,UK VAT
France - Reduced Rate,FR,*,,5,,,,UK VAT
France - Standard,FR,*,,20,,,,UK VAT
France - Zero Rate,FR,*,,0,,,,UK VAT
Germany - Reduced Rate,DE,*,,5,,,,UK VAT
Germany - Standard,DE,*,,20,,,,UK VAT
Germany - Zero Rate,DE,*,,0,,,,UK VAT
Greece - Reduced Rate,GR,*,,5,,,,UK VAT
Greece - Standard,GR,*,,20,,,,UK VAT
Greece - Zero Rate,GR,*,,0,,,,UK VAT
Hungary - Reduced Rate,HU,*,,5,,,,UK VAT
Hungary - Standard,HU,*,,20,,,,UK VAT
Hungary - Zero Rate,HU,*,,0,,,,UK VAT
Ireland - Reduced Rate,IE,*,,5,,,,UK VAT
Ireland - Standard,IE,*,,20,,,,UK VAT
Ireland - Zero Rate,IE,*,,0,,,,UK VAT
Isle of Man - Reduced Rate,IM,*,,5,,,,UK VAT
Isle of Man - Standard,IM,*,,20,,,,UK VAT
Isle of Man - Zero Rate,IM,*,,0,,,,UK VAT
Italy - Reduced Rate,IT,*,,5,,,,UK VAT
Italy - Standard,IT,*,,20,,,,UK VAT
